,joint_str,wrkt_str,target,output
0,Jaseci open source,update jaseci-serv actions,open source,1
1,Jaseci commands and resource v75 progress Jaseci Master Plan open source,update jaseci-serv actions,open source,-1
2,Jaseci open source update jaseci-serv actions,think about how to use it for Myca,Bi-encoder,-1
3,Jaseci Bi-encoder,think about how to use it for Myca,Bi-encoder,1
4,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder,think about how to use it for Myca,Bi-encoder,-1
5,Jaseci open source update jaseci-serv actions,plan how to clean up myca dataset,Bi-encoder,-1
6,Jaseci Bi-encoder think about how to use it for Myca,plan how to clean up myca dataset,Bi-encoder,1
7,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder,plan how to clean up myca dataset,Bi-encoder,-1
8,Jaseci open source update jaseci-serv actions,clean up hlp jac code,HLP,-1
9,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,clean up hlp jac code,HLP,-1
10,Jaseci JPS,clean up hlp jac code,HLP,-1
11,Jaseci HLP Dev notes,clean up hlp jac code,HLP,1
12,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP,clean up hlp jac code,HLP,-1
13,Jaseci open source update jaseci-serv actions,work through HLP delivery flow,HLP,-1
14,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,work through HLP delivery flow,HLP,-1
15,Jaseci JPS,work through HLP delivery flow,HLP,-1
16,Jaseci HLP Dev notes clean up hlp jac code,work through HLP delivery flow,HLP,1
17,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP,work through HLP delivery flow,HLP,-1
18,Jaseci open source update jaseci-serv actions,set everything up as microservice,Jaseci,-1
19,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,set everything up as microservice,Jaseci,-1
20,Jaseci JPS,set everything up as microservice,Jaseci,-1
21,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,set everything up as microservice,Jaseci,-1
22,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP,set everything up as microservice,Jaseci,1
23,Jaseci open source update jaseci-serv actions,connect to jaseci main pod,Jaseci,-1
24,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,connect to jaseci main pod,Jaseci,-1
25,Jaseci JPS,connect to jaseci main pod,Jaseci,-1
26,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,connect to jaseci main pod,Jaseci,-1
27,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice,connect to jaseci main pod,Jaseci,1
28,Jaseci open source update jaseci-serv actions,get biencoder classifier to work well,Jaseci,-1
29,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,get biencoder classifier to work well,Jaseci,-1
30,Jaseci JPS,get biencoder classifier to work well,Jaseci,-1
31,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,get biencoder classifier to work well,Jaseci,-1
32,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod,get biencoder classifier to work well,Jaseci,1
33,Jaseci open source update jaseci-serv actions,set up demo scripts,Jaseci,-1
34,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,set up demo scripts,Jaseci,-1
35,Jaseci JPS,set up demo scripts,Jaseci,-1
36,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,set up demo scripts,Jaseci,-1
37,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well,set up demo scripts,Jaseci,1
38,Jaseci open source update jaseci-serv actions,Understand the spacy capabilities,Jaseci,-1
39,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Understand the spacy capabilities,Jaseci,-1
40,Jaseci JPS,Understand the spacy capabilities,Jaseci,-1
41,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Understand the spacy capabilities,Jaseci,-1
42,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts,Understand the spacy capabilities,Jaseci,1
43,Jaseci open source update jaseci-serv actions,ask about HOA fee breakdown,Financial,-1
44,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,ask about HOA fee breakdown,Financial,-1
45,Jaseci JPS,ask about HOA fee breakdown,Financial,-1
46,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,ask about HOA fee breakdown,Financial,-1
47,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,ask about HOA fee breakdown,Financial,-1
48,Financial,ask about HOA fee breakdown,Financial,1
49,Jaseci open source update jaseci-serv actions,retirement account portfolio,Financial,-1
50,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,retirement account portfolio,Financial,-1
51,Jaseci JPS,retirement account portfolio,Financial,-1
